instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
movie - prob30.pddl,movie,cg,7,7,9,0,29,29,1376,0,0,0,1,0,29,0.90625,5,0.0017653,0.005239,56124
mprime - prob01.pddl,mprime,add,5,5,6,0,123,123,123,0,0,0,1,0,123,0.960938,7,0.006909,0.0199335,56676
mprime - prob01.pddl,mprime,cg,5,5,6,0,123,123,123,0,0,0,1,0,123,0.960938,7,0.002959,0.0240348,65492
mprime - prob02.pddl,mprime,add,9,9,23,0,996,996,1083,0,0,0,1,0,996,0.972656,10,0.128834,0.177434,58580
mprime - prob02.pddl,mprime,cg,7,7,8,0,332,332,334,0,0,0,1,0,332,0.648438,9,0.0120421,0.0959455,114796
mprime - prob03.pddl,mprime,add,4,4,5,0,268,268,268,0,0,0,1,0,268,0.523438,9,0.0260083,0.0558141,57980
mprime - prob03.pddl,mprime,cg,4,4,5,0,268,268,268,0,0,0,1,0,268,0.523438,9,0.0090757,0.0409241,61524
mprime - prob04.pddl,mprime,add,8,8,164,0,2025,2025,7349,0,0,0,1,0,2025,0.494385,12,0.075147,0.0909702,56820
mprime - prob04.pddl,mprime,cg,8,8,12,0,406,406,461,0,0,0,1,0,406,0.792969,9,0.0044063,0.0254631,66016
mprime - prob05.pddl,mprime,add,11,11,932,0,11028,11028,26311,0,793,0,9568,22981,11028,0.673096,14,0.968311,0.99928,58588
mprime - prob05.pddl,mprime,cg,11,11,240,0,3820,3820,6905,0,191,0,3219,5751,3820,0.932617,12,0.0680448,0.149032,146416
mprime - prob06.pddl,mprime,add,11,11,20,0,4721,4721,4762,0,0,0,1,0,4721,0.576294,13,2.7369,2.92095,70088
mprime - prob06.pddl,mprime,cg,16,16,3738,0,347371,347371,919859,0,0,0,1,0,347371,0.662558,19,29.7442,29.9096,88152
mprime - prob07.pddl,mprime,add,5,5,6,0,186,186,188,0,0,0,1,0,186,0.726562,8,0.0119765,0.0262731,57212
mprime - prob07.pddl,mprime,cg,5,5,23,0,520,520,769,0,1,0,37,36,520,0.507812,10,0.005703,0.0308991,65724
mprime - prob08.pddl,mprime,add,6,6,9,0,1146,1146,1158,0,0,0,1,0,1146,0.55957,11,0.232906,0.309546,61984
mprime - prob08.pddl,mprime,cg,6,6,33,0,3539,3539,4520,0,2,0,287,287,3539,0.864014,12,0.14871,0.218433,62196
mprime - prob09.pddl,mprime,add,8,8,9,0,249,249,252,0,0,0,1,0,249,0.972656,8,0.0322501,0.0585176,57748
mprime - prob09.pddl,mprime,cg,8,8,9,0,249,249,252,0,0,0,1,0,249,0.972656,8,0.0099796,0.0616773,92248
mprime - prob10.pddl,mprime,add,8,8,9,0,2129,2129,2129,0,0,0,1,0,2129,0.519775,12,2.48295,2.84888,85308
mprime - prob10.pddl,mprime,cg,8,8,9,0,2129,2129,2129,0,0,0,1,0,2129,0.519775,12,0.147839,0.503734,86228
mprime - prob11.pddl,mprime,add,7,7,10,0,310,310,312,0,0,0,1,0,310,0.605469,9,0.0230821,0.0379253,56952
mprime - prob11.pddl,mprime,cg,7,7,8,0,245,245,247,0,0,0,1,0,245,0.957031,8,0.0050158,0.0209538,61468
mprime - prob12.pddl,mprime,add,6,6,15,0,438,438,473,0,1,0,37,36,438,0.855469,9,0.0329105,0.0568413,57620
mprime - prob12.pddl,mprime,cg,6,6,17,0,483,483,539,0,2,0,72,72,483,0.943359,9,0.0088034,0.0330697,59644
mprime - prob13.pddl,mprime,add,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mprime - prob13.pddl,mprime,cg,15,15,44422,0,1763371,1763371,9294456,0,0,0,1,0,1763371,0.42042,22,136.114,136.447,243840
mprime - prob14.pddl,mprime,add,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mprime - prob14.pddl,mprime,cg,11,11,47,0,12490,12490,13084,0,1,0,286,285,12490,0.762329,14,1.17209,1.61412,92992
